date,Cooler,Heater,Drive 1 started,Sync signal from S10-2991 (DOUT1 Cooler),Command Drive speed Drive 1,Actual Speed Drive 1,Current Propotional Coil Pump 1,Pressure Drain filter 1,Pressure B-side Pump 1,Temp Drain Pump 1,Displacement Pump 1,Current Electric motor 1,Pressure A-side Pump 1,Temp Drain line from Hydraulic motor 1 in tank 1,Temp Oil tank 1,Temp Hydraulic out Cooler 1,Temp Hydraulic in Cooler 1,Pressure Hydraulic in Cooler 1,Temp Drain Hydraulic motor 1,Pressure House Hydraulic motor 1,Temp A-side loop Hydraulic motor 1,Pressure Charge Pump 1,Temp C-side loop Hydraulic motor 1,Temp Ambient Outside power unit
2013-09-09 01:06:00,0,0,0,0,0,0,0,16.9287371451,9.0661909691,16.8252723396,0.0765018543,0,0.0556745088,16.4400005341,17.6000003815,12.4917996523,11.089855708,0,13.4410833875,0,13.6993652849,0,13.4295025865,11.3999996185
2013-09-09 01:07:00,0,0,0,0,0,0,0,16.6603002453,9.0711468484,16.7099990845,0.077486277,0,0.0488588225,16.4400005341,17.6000003815,12.5045496718,11.0899476273,0,13.4415058864,0,13.6995706963,0,13.4030090372,11.3999996185
2013-09-09 01:08:00,0,0,0,0,0,0,0,16.7632001177,9.0734278285,16.7099990845,0.0368278679,0,0.0540666657,16.430900526,17.6000003815,12.4899246581,11.088824899,0,13.4442036716,0,13.6838331818,0,13.3110790398,11.3999996185
2013-09-09 01:09:00,0,0,0,0,0,0,0,16.8400001526,9.0641774851,16.7099990845,0.0599048785,0,0.0528166657,16.3381671111,17.6000003815,12.4848621452,11.089032374,0,13.4377572707,0,13.6879800483,0,13.3100004196,11.3999996185
2013-09-09 01:10:00,0,0,0,0,0,0,0,16.8445002556,9.0694471781,16.7099990845,0.063980984,0,0.0585092581,16.3328496181,17.6000003815,12.4758621538,11.06572818,0,13.4411917206,0,13.610733064,0,13.3100004196,11.3999996185
2013-09-09 01:11:00,0,0,0,0,0,0,0,16.4375717254,9.066141813,16.7099990845,0.0771535378,0,0.0457490733,16.3172800567,17.6000003815,12.4620246553,11.05919541,0,13.4407083886,0,13.5842997074,0,13.3100004196,11.3926524383
2013-09-09 01:12:00,0,0,0,0,0,0,0,16.4819288958,9.0758443721,16.7099990845,0.0801798004,0,0.0465249992,16.422655043,17.6000003815,12.4746246505,10.9600000381,0,13.4396561188,0,13.5699996948,0,13.3100004196,11.326361151
2013-09-09 01:13:00,0,0,0,0,0,0,0,16.4530002276,9.0858905019,16.6136996015,0.0843122247,0,0.050771794,16.402083834,17.6000003815,12.4594746545,10.9600000381,0,13.4399606634,0,13.5699996948,0,13.3100004196,11.3809858384
2013-09-09 01:14:00,0,0,0,0,0,0,0,16.4034999847,9.0753048999,16.5974996885,0.0608364468,0,0.0427282042,16.3310770751,17.6000003815,12.4492746557,10.9600000381,0,13.4397292246,0,13.5699996948,0,13.3100004196,11.3999996185
2013-09-09 01:15:00,0,0,0,0,0,0,0,16.5411593473,9.0767242679,16.5913633578,0.0695013358,0,0.0400333326,16.3292237996,17.6000003815,12.4554996455,10.9600000381,0,13.4400975569,0,13.5699996948,0,13.3100004196,11.3926524383
